pad	cobo	asad	aget	chan	row	col	a[keV/ch] b[keV]
1557	0	1	1	29	22	22	1	0
1545	0	1	1	30	22	18	1	0
1549	0	1	1	31	24	20	1	0
1553	0	1	1	32	23	21	1	0
1572	0	1	1	33	22	27	1	0
1588	0	1	1	34	25	17	1	0
1539	0	1	1	35	22	16	1	0
1578	0	1	1	36	22	29	1	0
1568	0	1	1	37	23	26	1	0
1598	0	1	1	38	26	20	1	0
1594	0	1	1	39	25	19	1	0
1582	0	1	1	40	24	31	1	0
1564	0	1	1	41	24	25	1	0
1543	0	1	1	42	24	18	1	0
1590	0	1	1	43	27	17	1	0
1574	0	1	1	44	23	28	1	0
-1		0	1	1	45	-1	-1	1	0
1560	0	1	1	46	22	23	1	0
1547	0	1	1	47	23	19	1	0
1586	0	1	1	48	26	16	1	0
1570	0	1	1	49	24	27	1	0
1556	0	1	1	50	23	22	1	0
1632	0	1	1	51	27	31	1	0
1551	0	1	1	52	22	20	1	0
1566	0	1	1	53	22	25	1	0
1562	0	1	1	54	23	24	1	0
1555	0	1	1	55	24	22	1	0
-1		0	1	1	56	-1	-1	1	0
1628	0	1	1	57	26	30	1	0
1548	0	1	1	58	22	19	1	0
1558	0	1	1	59	24	23	1	0
1559	0	1	1	60	23	23	1	0
1624	0	1	1	61	25	29	1	0
1540	0	1	1	62	24	17	1	0
1554	0	1	1	63	22	21	1	0
1567	0	1	1	64	24	26	1	0
1620	0	1	1	65	27	27	1	0
1563	0	1	1	66	22	24	1	0
1544	0	1	1	67	23	18	1	0
219		0	1	2	0	22	40	1	0
249		0	1	2	1	27	34	1	0
276		0	1	2	2	27	43	1	0
223		0	1	2	3	24	42	1	0
286		0	1	2	4	25	47	1	0
253		0	1	2	5	25	36	1	0
280		0	1	2	6	25	45	1	0
215		0	1	2	7	23	39	1	0
282		0	1	2	8	27	45	1	0
245		0	1	2	9	26	33	1	0
284		0	1	2	10	26	46	1	0
-1		0	1	2	11	-1	-1	1	0
211		0	1	2	12	24	38	1	0
278		0	1	2	13	26	44	1	0
241		0	1	2	14	25	32	1	0
207		0	1	2	15	22	36	1	0
288		0	1	2	16	27	47	1	0
287		0	1	2	17	26	47	1	0
274		0	1	2	18	25	43	1	0
260		0	1	2	19	26	38	1	0
242		0	1	2	20	26	32	1	0
270		0	1	2	21	27	41	1	0
-1		0	1	2	22	-1	-1	1	0
283		0	1	2	23	25	46	1	0
203		0	1	2	24	23	35	1	0
246		0	1	2	25	27	33	1	0
266		0	1	2	26	26	40	1	0
279		0	1	2	27	27	44	1	0
199		0	1	2	28	24	34	1	0
250		0	1	2	29	25	35	1	0
262		0	1	2	30	25	39	1	0
258		0	1	2	31	27	37	1	0
254		0	1	2	32	26	36	1	0
195		0	1	2	33	22	32	1	0
275		0	1	2	34	26	43	1	0
271		0	1	2	35	25	42	1	0
201		0	1	2	36	22	34	1	0
244		0	1	2	37	25	33	1	0
285		0	1	2	38	27	46	1	0
281		0	1	2	39	26	45	1	0
205		0	1	2	40	24	36	1	0
248		0	1	2	41	26	34	1	0
267		0	1	2	42	27	40	1	0
277		0	1	2	43	25	44	1	0
197		0	1	2	44	23	33	1	0
-1		0	1	2	45	-1	-1	1	0
252		0	1	2	46	27	35	1	0
263		0	1	2	47	26	39	1	0
273		0	1	2	48	27	42	1	0
193		0	1	2	49	24	32	1	0
256		0	1	2	50	25	37	1	0
269		0	1	2	51	26	41	1	0
259		0	1	2	52	25	38	1	0
239		0	1	2	53	23	47	1	0
235		0	1	2	54	24	46	1	0
255		0	1	2	55	27	36	1	0
-1		0	1	2	56	-1	-1	1	0
265		0	1	2	57	25	40	1	0
264		0	1	2	58	27	39	1	0
231		0	1	2	59	22	44	1	0
251		0	1	2	60	26	35	1	0
261		0	1	2	61	27	38	1	0
272		0	1	2	62	26	42	1	0
227		0	1	2	63	23	43	1	0
243		0	1	2	64	27	32	1	0
257		0	1	2	65	26	37	1	0
247		0	1	2	66	25	34	1	0
268		0	1	2	67	25	41	1	0
106		0	1	3	0	24	51	1	0
172		0	1	3	1	25	57	1	0
141		0	1	3	2	22	62	1	0
110		0	1	3	3	23	52	1	0
131		0	1	3	4	23	59	1	0
176		0	1	3	5	26	58	1	0
137		0	1	3	6	23	61	1	0
102		0	1	3	7	22	49	1	0
135		0	1	3	8	22	60	1	0
168		0	1	3	9	27	55	1	0
133		0	1	3	10	24	60	1	0
-1		0	1	3	11	-1	-1	1	0
98		0	1	3	12	23	48	1	0
139		0	1	3	13	24	62	1	0
164		0	1	3	14	26	54	1	0
144		0	1	3	15	22	63	1	0
129		0	1	3	16	22	58	1	0
160		0	1	3	17	25	53	1	0
143		0	1	3	18	23	63	1	0
112		0	1	3	19	24	53	1	0
125		0	1	3	20	23	57	1	0
97		0	1	3	21	24	48	1	0
-1		0	1	3	22	-1	-1	1	0
156		0	1	3	23	27	51	1	0
140		0	1	3	24	23	62	1	0
121		0	1	3	25	24	56	1	0
101		0	1	3	26	23	49	1	0
152		0	1	3	27	26	50	1	0
136		0	1	3	28	24	61	1	0
117		0	1	3	29	22	54	1	0
105		0	1	3	30	22	50	1	0
109		0	1	3	31	24	52	1	0
113		0	1	3	32	23	53	1	0
132		0	1	3	33	22	59	1	0
148		0	1	3	34	25	49	1	0
99		0	1	3	35	22	48	1	0
138		0	1	3	36	22	61	1	0
128		0	1	3	37	23	58	1	0
158		0	1	3	38	26	52	1	0
154		0	1	3	39	25	51	1	0
142		0	1	3	40	24	63	1	0
124		0	1	3	41	24	57	1	0
103		0	1	3	42	24	50	1	0
150		0	1	3	43	27	49	1	0
134		0	1	3	44	23	60	1	0
-1		0	1	3	45	-1	-1	1	0
120		0	1	3	46	22	55	1	0
107		0	1	3	47	23	51	1	0
146		0	1	3	48	26	48	1	0
130		0	1	3	49	24	59	1	0
116		0	1	3	50	23	54	1	0
192		0	1	3	51	27	63	1	0
111		0	1	3	52	22	52	1	0
126		0	1	3	53	22	57	1	0
122		0	1	3	54	23	56	1	0
115		0	1	3	55	24	54	1	0
-1		0	1	3	56	-1	-1	1	0
188		0	1	3	57	26	62	1	0
108		0	1	3	58	22	51	1	0
118		0	1	3	59	24	55	1	0
119		0	1	3	60	23	55	1	0
184		0	1	3	61	25	61	1	0
100		0	1	3	62	24	49	1	0
114		0	1	3	63	22	53	1	0
127		0	1	3	64	24	58	1	0
180		0	1	3	65	27	59	1	0
123		0	1	3	66	22	56	1	0
104		0	1	3	67	23	50	1	0
1851	0	2	0	0	16	8	1	0
1881	0	2	0	1	21	2	1	0
1908	0	2	0	2	21	11	1	0
1855	0	2	0	3	18	10	1	0
1918	0	2	0	4	19	15	1	0
1885	0	2	0	5	19	4	1	0
1912	0	2	0	6	19	13	1	0
1847	0	2	0	7	17	7	1	0
1914	0	2	0	8	21	13	1	0
1877	0	2	0	9	20	1	1	0
1916	0	2	0	10	20	14	1	0
-1		0	2	0	11	-1	-1	1	0
1843	0	2	0	12	18	6	1	0
1910	0	2	0	13	20	12	1	0
1873	0	2	0	14	19	0	1	0
1839	0	2	0	15	16	4	1	0
1920	0	2	0	16	21	15	1	0
1919	0	2	0	17	20	15	1	0
1906	0	2	0	18	19	11	1	0
1892	0	2	0	19	20	6	1	0
1874	0	2	0	20	20	0	1	0
1902	0	2	0	21	21	9	1	0
-1		0	2	0	22	-1	-1	1	0
1915	0	2	0	23	19	14	1	0
1835	0	2	0	24	17	3	1	0
1878	0	2	0	25	21	1	1	0
1898	0	2	0	26	20	8	1	0
1911	0	2	0	27	21	12	1	0
1831	0	2	0	28	18	2	1	0
1882	0	2	0	29	19	3	1	0
1894	0	2	0	30	19	7	1	0
1890	0	2	0	31	21	5	1	0
1886	0	2	0	32	20	4	1	0
1827	0	2	0	33	16	0	1	0
1907	0	2	0	34	20	11	1	0
1903	0	2	0	35	19	10	1	0
1833	0	2	0	36	16	2	1	0
1876	0	2	0	37	19	1	1	0
